Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 232,Australia,Pakistan,264/8,"(50 ov, T:265) 230/9",Australia,34 runs,Sydney,1984-01-10,1984
ODI # 233,Pakistan,West Indies,208/8,"(41.4/50 ov, T:209) 111",Pakistan,97 runs,Melbourne,1984-01-12,1984
ODI # 234,Pakistan,West Indies,174/9,(40.2/50 ov) 175/5,West Indies,5 wickets,Brisbane,1984-01-14,1984
ODI # 236,West Indies,Australia,223/7,"(49/49 ov, T:224) 195/9",West Indies,28 runs,Sydney,1984-01-17,1984
ODI # 237,Pakistan,West Indies,184/8,(48.3/50 ov) 185/5,West Indies,5 wickets,Sydney,1984-01-19,1984
ODI # 238,Australia,Pakistan,209/8,"(45/50 ov, T:210) 166",Australia,43 runs,Melbourne,1984-01-21,1984
ODI # 239,West Indies,Australia,252/6,"(49.5/50 ov, T:253) 226",West Indies,26 runs,Melbourne,1984-01-22,1984
ODI # 240,Australia,Pakistan,244/8,"(47.2/50 ov, T:245) 157",Australia,87 runs,Sydney,1984-01-25,1984
ODI # 241,Pakistan,West Indies,177/8,"(49.1/50 ov, T:178) 180/9",West Indies,1 wicket,Adelaide,1984-01-28,1984
ODI # 242,Australia,West Indies,165/7,"(45.1/50 ov, T:166) 169/4",West Indies,6 wickets,Adelaide,1984-01-29,1984
ODI # 243,Australia,Pakistan,210/8,"(45.2/50 ov, T:211) 140",Australia,70 runs,Adelaide,1984-01-30,1984
ODI # 244,Pakistan,West Indies,182/7,(45/50 ov) 183/3,West Indies,7 wickets,Perth,1984-02-04,1984
ODI # 245,Australia,West Indies,211/8,"(43.3/50 ov, T:212) 197",Australia,14 runs,Perth,1984-02-05,1984
ODI # 246,Australia,West Indies,160,(43.1/46 ov) 161/1,West Indies,9 wickets,Sydney,1984-02-08,1984
ODI # 248,Australia,West Indies,212/8,(45.3/50 ov) 213/4,West Indies,6 wickets,Melbourne,1984-02-12,1984
ODI # 249,England,New Zealand,188/9,"(42.1/50 ov, T:189) 134",England,54 runs,Christchurch,1984-02-18,1984
ODI # 250,New Zealand,England,135,"(45.1/50 ov, T:136) 139/4",England,6 wickets,Wellington,1984-02-22,1984
ODI # 251,England,New Zealand,209/9,(45.3/50 ov) 210/3,New Zealand,7 wickets,Auckland,1984-02-25,1984
ODI # 252,Australia,West Indies,231/5,"(48/50 ov, T:232) 233/2",West Indies,8 wickets,Albion,1984-02-29,1984
ODI # 253,New Zealand,Sri Lanka,234/6,"(37.3/42 ov, T:235) 130",New Zealand,104 runs,Colombo (SSC),1984-03-03,1984
ODI # 254,England,Pakistan,184/8,"(38.4/40 ov, T:185) 187/4",Pakistan,6 wickets,Lahore,1984-03-09,1984
ODI # 255,West Indies,Australia,190/6,"(36.4/37 ov, T:191) 194/6",Australia,4 wickets,Port of Spain,1984-03-14,1984
ODI # 256,Pakistan,England,163/8,(38.4/40 ov) 164/4,England,6 wickets,Karachi,1984-03-26,1984
ODI # 257,Sri Lanka,New Zealand,157/8,"(34/40 ov, T:158) 116",Sri Lanka,41 runs,Moratuwa,1984-03-31,1984
ODI # 258,New Zealand,Sri Lanka,201/8,"(38.1/44 ov, T:202) 115",New Zealand,86 runs,Colombo (PSS),1984-04-01,1984
ODI # 259,Pakistan,Sri Lanka,187/9,"(43.3/46 ov, T:188) 190/5",Sri Lanka,5 wickets,Sharjah,1984-04-06,1984
ODI # 260,Sri Lanka,India,96,(21.4/50 ov) 97/0,India,10 wickets,Sharjah,1984-04-08,1984
ODI # 261,India,Pakistan,188/4,"(39.4/46 ov, T:189) 134",India,54 runs,Sharjah,1984-04-13,1984
ODI # 262,Australia,West Indies,206/9,"(41.4/45 ov, T:207) 208/3",West Indies,7 wickets,Castries,1984-04-19,1984
ODI # 263,Australia,West Indies,209/7,"(47.4/50 ov, T:210) 211/1",West Indies,9 wickets,Kingston,1984-04-26,1984
ODI # 264,West Indies,England,272/9,"(50/55 ov, T:273) 168",West Indies,104 runs,Manchester,1984-05-31,1984
ODI # 265,West Indies,England,179,(47.5/50 ov) 180/7,England,3 wickets,Nottingham,1984-06-02,1984
ODI # 266,England,West Indies,196/9,(46.5/55 ov) 197/2,West Indies,8 wickets,Lord's,1984-06-04,1984
ODI # 267,Australia,India,220/9,"(40.5/48 ov, T:221) 172",Australia,48 runs,New Delhi,1984-09-28,1984
ODI # 270,India,Australia,206/6,"(43.5/46 ov, T:207) 210/3",Australia,7 wickets,Ahmedabad,1984-10-05,1984
ODI # 271,India,Australia,235/5,(40.1/44 ov) 236/4,Australia,6 wickets,Indore,1984-10-06,1984
ODI # 272,Pakistan,India,199/7,"(37.1/40 ov, T:200) 153",Pakistan,46 runs,Quetta,1984-10-12,1984
ODI # 274,New Zealand,Sri Lanka,171/6,"(39.4/45 ov, T:172) 174/6",Sri Lanka,4 wickets,Colombo (PSS),1984-11-03,1984
ODI # 275,Sri Lanka,New Zealand,114/9,"(31.4/41 ov, T:115) 118/3",New Zealand,7 wickets,Moratuwa,1984-11-04,1984
ODI # 276,Pakistan,New Zealand,191/5,"(36.2/39 ov, T:192) 145",Pakistan,46 runs,Peshawar,1984-11-12,1984
ODI # 277,Pakistan,New Zealand,157/5,"(20/20 ov, T:158) 152/7",Pakistan,5 runs,Faisalabad,1984-11-23,1984
ODI # 278,New Zealand,Pakistan,187/9,"(36/36 ov, T:188) 153/8",New Zealand,34 runs,Sialkot,1984-12-02,1984
ODI # 279,India,England,214/6,(43.2/45 ov) 215/6,England,4 wickets,Pune,1984-12-05,1984
ODI # 280,New Zealand,Pakistan,213/8,(35/35 ov) 214/9,Pakistan,1 wicket,Multan,1984-12-07,1984
ODI # 281,India,England,252/5,(46/46 ov) 241/6,England,1 run,Cuttack,1984-12-27,1984
ODI # 282,Australia,West Indies,240/6,(44.5/50 ov) 241/3,West Indies,7 wickets,Melbourne,1985-01-06,1985
ODI # 283,Sri Lanka,Australia,239/7,(46.2/49 ov) 240/4,Australia,6 wickets,Sydney,1985-01-08,1985
ODI # 284,Sri Lanka,West Indies,197/7,(40.4/50 ov) 198/2,West Indies,8 wickets,Hobart,1985-01-10,1985
ODI # 285,New Zealand,Pakistan,277/6,"(50 ov, T:278) 167/9",New Zealand,110 runs,Napier,1985-01-12,1985
ODI # 286,West Indies,Sri Lanka,270/6,"(48.1/50 ov, T:271) 180",West Indies,90 runs,Brisbane,1985-01-12,1985
ODI # 287,Australia,West Indies,191,"(37.4/50 ov, T:192) 195/5",West Indies,5 wickets,Brisbane,1985-01-13,1985
ODI # 288,Pakistan,New Zealand,221/4,(48.5/50 ov) 222/6,New Zealand,4 wickets,Hamilton,1985-01-15,1985
ODI # 289,Australia,West Indies,200/5,(43.3/50 ov) 201/5,West Indies,5 wickets,Sydney,1985-01-15,1985
ODI # 290,West Indies,Sri Lanka,267/3,"(50 ov, T:268) 202/5",West Indies,65 runs,Sydney,1985-01-17,1985
ODI # 291,Australia,Sri Lanka,226/9,"(49.2/50 ov, T:227) 230/6",Sri Lanka,4 wickets,Melbourne,1985-01-19,1985
ODI # 292,West Indies,Australia,271/7,"(50 ov, T:272) 206/9",West Indies,65 runs,Melbourne,1985-01-20,1985
ODI # 293,India,England,205/6,(45/46 ov) 206/7,England,3 wickets,Bengaluru,1985-01-20,1985
ODI # 294,Sri Lanka,Australia,240/6,"(47.1/50 ov, T:241) 242/7",Australia,3 wickets,Sydney,1985-01-23,1985
ODI # 295,England,India,240/7,(47.4/50 ov) 241/7,India,3 wickets,Nagpur,1985-01-23,1985
ODI # 296,Sri Lanka,West Indies,204/6,(37.2/50 ov) 205/2,West Indies,8 wickets,Adelaide,1985-01-26,1985
ODI # 297,Australia,West Indies,200/9,(43.4/50 ov) 201/4,West Indies,6 wickets,Adelaide,1985-01-27,1985
ODI # 298,England,India,121/6,"(15/15 ov, T:122) 114/5",England,7 runs,Chandigarh,1985-01-27,1985
ODI # 299,Australia,Sri Lanka,323/2,"(35.5/50 ov, T:324) 91",Australia,232 runs,Adelaide,1985-01-28,1985
ODI # 300,West Indies,Sri Lanka,309/6,"(50 ov, T:310) 227/6",West Indies,82 runs,Perth,1985-02-02,1985
ODI # 301,Sri Lanka,Australia,171,(23.5/50 ov) 172/1,Australia,9 wickets,Perth,1985-02-03,1985
ODI # 302,New Zealand,Pakistan,264/8,"(49.4/50 ov, T:265) 251",New Zealand,13 runs,Christchurch,1985-02-06,1985
ODI # 303,Australia,West Indies,247/6,"(47.3/50 ov, T:248) 221",Australia,26 runs,Sydney,1985-02-06,1985
ODI # 304,Australia,West Indies,271/3,"(49.2/50 ov, T:272) 273/6",West Indies,4 wickets,Melbourne,1985-02-10,1985
ODI # 305,Australia,West Indies,178,(47/50 ov) 179/3,West Indies,7 wickets,Sydney,1985-02-12,1985
ODI # 307,England,Australia,214/8,(45.2/49 ov) 215/3,Australia,7 wickets,Melbourne,1985-02-17,1985
ODI # 309,Pakistan,India,183,(45.5/50 ov) 184/4,India,6 wickets,Melbourne,1985-02-20,1985
ODI # 310,New Zealand,Sri Lanka,223,"(42.4/50 ov, T:224) 172",New Zealand,51 runs,Melbourne,1985-02-23,1985
ODI # 311,Pakistan,Australia,262/6,"(42.3/50 ov, T:263) 200",Pakistan,62 runs,Melbourne,1985-02-24,1985
ODI # 312,India,England,235/9,"(41.4/50 ov, T:236) 149",India,86 runs,Sydney,1985-02-26,1985
ODI # 313,Sri Lanka,West Indies,135/7,(23.1/47 ov) 136/2,West Indies,8 wickets,Melbourne,1985-02-27,1985
ODI # 314,Pakistan,England,213/8,"(24.2/50 ov, T:214) 146",Pakistan,67 runs,Melbourne,1985-03-02,1985
ODI # 315,Australia,India,163,"(36.1/50 ov, T:164) 165/2",India,8 wickets,Melbourne,1985-03-03,1985
ODI # 316,New Zealand,India,206,(43.3/50 ov) 207/3,India,7 wickets,Sydney,1985-03-05,1985
ODI # 317,West Indies,Pakistan,159,(46/50 ov) 160/3,Pakistan,7 wickets,Melbourne,1985-03-06,1985
ODI # 318,New Zealand,West Indies,138/9,(37.2/50 ov) 139/4,West Indies,6 wickets,Sydney,1985-03-09,1985
ODI # 319,Pakistan,India,176/9,(47.1/50 ov) 177/2,India,8 wickets,Melbourne,1985-03-10,1985
ODI # 320,West Indies,New Zealand,231/8,"(46/46 ov, T:232) 208/8",West Indies,23 runs,St John's,1985-03-20,1985
ODI # 321,India,Pakistan,125,"(32.5/50 ov, T:126) 87",India,38 runs,Sharjah,1985-03-22,1985
ODI # 322,England,Australia,177/8,(50 ov) 178/8,Australia,2 wickets,Sharjah,1985-03-24,1985
ODI # 323,Pakistan,England,175/7,"(48.2/50 ov, T:176) 132",Pakistan,43 runs,Sharjah,1985-03-26,1985
ODI # 324,New Zealand,West Indies,51/3,"(17/22 ov, T:52) 55/4",West Indies,6 wickets,Port of Spain,1985-03-27,1985
ODI # 325,Australia,India,139,(39.2/50 ov) 140/7,India,3 wickets,Sharjah,1985-03-29,1985
ODI # 326,West Indies,New Zealand,259/5,"(48.1/50 ov, T:260) 129",West Indies,130 runs,Albion,1985-04-14,1985
ODI # 327,New Zealand,West Indies,116,(24.2/50 ov) 117/0,West Indies,10 wickets,Port of Spain,1985-04-17,1985
ODI # 328,West Indies,New Zealand,265/3,"(49/49 ov, T:266) 153/8",West Indies,112 runs,Bridgetown,1985-04-23,1985
ODI # 329,England,Australia,219,(54.1/55 ov) 220/7,Australia,3 wickets,Manchester,1985-05-30,1985
ODI # 330,England,Australia,231/7,"(54/55 ov, T:232) 233/6",Australia,4 wickets,Birmingham,1985-06-01,1985
ODI # 331,Australia,England,254/5,"(49/55 ov, T:255) 257/2",England,8 wickets,Lord's,1985-06-03,1985
ODI # 332,Sri Lanka,India,241/6,(44.3/45 ov) 242/8,India,2 wickets,Colombo (SSC),1985-08-25,1985
ODI # 333,Sri Lanka,India,171/5,"(28/28 ov, T:172) 157/4",Sri Lanka,14 runs,Colombo (PSS),1985-09-21,1985
ODI # 335,Sri Lanka,Pakistan,145,"(32.5/40 ov, T:146) 147/2",Pakistan,8 wickets,Peshawar,1985-10-13,1985
ODI # 336,Pakistan,Sri Lanka,224/5,"(40 ov, T:225) 209/7",Pakistan,15 runs,Gujranwala,1985-10-23,1985
ODI # 337,Sri Lanka,Pakistan,228/7,"(36.3/38 ov, T:229) 231/5",Pakistan,5 wickets,Lahore,1985-10-25,1985
ODI # 338,Pakistan,Sri Lanka,216/7,"(37.2/39 ov, T:217) 127",Pakistan,89 runs,Hyderabad (Sind),1985-11-03,1985
ODI # 339,Pakistan,West Indies,196/4,"(44.1/45 ov, T:197) 199/3",West Indies,7 wickets,Sharjah,1985-11-15,1985
ODI # 340,Pakistan,India,203/4,"(40.4/45 ov, T:204) 155",Pakistan,48 runs,Sharjah,1985-11-17,1985
ODI # 341,India,West Indies,180/4,"(41.3/45 ov, T:181) 186/2",West Indies,8 wickets,Sharjah,1985-11-22,1985
ODI # 342,Pakistan,West Indies,218/5,"(35.3/40 ov, T:219) 224/2",West Indies,8 wickets,Gujranwala,1985-11-27,1985
ODI # 343,West Indies,Pakistan,173,"(38.3/40 ov, T:174) 175/4",Pakistan,6 wickets,Lahore,1985-11-29,1985
ODI # 344,West Indies,Pakistan,201/5,"(39.3/40 ov, T:202) 161",West Indies,40 runs,Peshawar,1985-12-02,1985
ODI # 345,West Indies,Pakistan,199/8,"(39.1/40 ov, T:200) 203/5",Pakistan,5 wickets,Rawalpindi,1985-12-04,1985
ODI # 346,Pakistan,West Indies,127/7,(34.1/38 ov) 128/2,West Indies,8 wickets,Karachi,1985-12-06,1985
ODI # 348,New Zealand,India,259/9,"(48/50 ov, T:260) 263/5",India,5 wickets,Brisbane,1986-01-11,1986
ODI # 349,India,Australia,161,"(45.2/50 ov, T:162) 164/6",Australia,4 wickets,Brisbane,1986-01-12,1986
ODI # 350,New Zealand,Australia,152,(45.1/50 ov) 153/6,Australia,4 wickets,Sydney,1986-01-14,1986
ODI # 351,Australia,India,161,(40.2/45 ov) 162/2,India,8 wickets,Melbourne,1986-01-16,1986
ODI # 352,India,New Zealand,113,"(40.1/50 ov, T:114) 115/7",New Zealand,3 wickets,Perth,1986-01-18,1986
ODI # 353,New Zealand,Australia,159/6,"(45.1/50 ov, T:160) 161/6",Australia,4 wickets,Perth,1986-01-19,1986
ODI # 354,Australia,India,292/6,"(50 ov, T:293) 192/4",Australia,100 runs,Sydney,1986-01-21,1986
ODI # 355,India,New Zealand,238/8,(49.5/50 ov) 239/5,New Zealand,5 wickets,Melbourne,1986-01-23,1986
ODI # 356,New Zealand,India,172,"(46/50 ov, T:173) 174/5",India,5 wickets,Adelaide,1986-01-25,1986
ODI # 357,Australia,India,262/8,"(45.3/50 ov, T:263) 226",Australia,36 runs,Adelaide,1986-01-26,1986
ODI # 358,New Zealand,Australia,276/7,"(26.3/50 ov, T:277) 70",New Zealand,206 runs,Adelaide,1986-01-27,1986
ODI # 359,Australia,New Zealand,239/7,"(42.4/50 ov, T:240) 140",Australia,99 runs,Sydney,1986-01-29,1986
ODI # 360,Australia,India,235/7,"(48.5/50 ov, T:236) 238/4",India,6 wickets,Melbourne,1986-01-31,1986
ODI # 361,India,New Zealand,202/9,"(45/45 ov, T:190) 168/9",India,22 runs,Launceston,1986-02-02,1986
ODI # 362,Australia,India,170/8,"(43.4/44 ov, T:171) 159",Australia,11 runs,Sydney,1986-02-05,1986
ODI # 363,India,Australia,187,(47.2/50 ov) 188/3,Australia,7 wickets,Melbourne,1986-02-09,1986
ODI # 364,England,West Indies,145/8,(43.5/46 ov) 146/4,West Indies,6 wickets,Kingston,1986-02-18,1986
ODI # 365,Sri Lanka,Pakistan,124/6,(21.3/23 ov) 125/2,Pakistan,8 wickets,Kandy,1986-03-02,1986
ODI # 366,West Indies,England,229/3,(37/37 ov) 230/5,England,5 wickets,Port of Spain,1986-03-04,1986
ODI # 368,Sri Lanka,Pakistan,160/8,"(23/24 ov, T:102) 103/2",Pakistan,8 wickets,Colombo (SSC),1986-03-11,1986
ODI # 369,New Zealand,Australia,186/6,"(47/50 ov, T:187) 156",New Zealand,30 runs,Dunedin,1986-03-19,1986
ODI # 370,West Indies,England,249/7,"(39/46 ov, T:250) 114",West Indies,135 runs,Bridgetown,1986-03-19,1986
ODI # 371,New Zealand,Australia,258/7,"(45.4/49 ov, T:259) 205",New Zealand,53 runs,Christchurch,1986-03-22,1986
ODI # 372,New Zealand,Australia,229/9,"(49.3/50 ov, T:230) 232/7",Australia,3 wickets,Wellington,1986-03-26,1986
ODI # 373,Australia,New Zealand,231,"(45/45 ov, T:232) 187/9",Australia,44 runs,Auckland,1986-03-29,1986
ODI # 374,Pakistan,Sri Lanka,197,"(33.5/45 ov, T:198) 116",Pakistan,81 runs,Colombo (PSS),1986-03-30,1986
ODI # 375,Bangladesh,Pakistan,94,"(32.1/45 ov, T:95) 98/3",Pakistan,7 wickets,Moratuwa,1986-03-31,1986
ODI # 376,England,West Indies,165/9,(38.2/47 ov) 166/2,West Indies,8 wickets,Port of Spain,1986-03-31,1986
ODI # 377,Bangladesh,Sri Lanka,131/8,(31.3/45 ov) 132/3,Sri Lanka,7 wickets,Kandy,1986-04-02,1986
ODI # 378,Sri Lanka,New Zealand,137/9,"(36.2/43 ov, T:138) 140/4",New Zealand,6 wickets,Colombo (RPS),1986-04-05,1986
ODI # 379,Pakistan,Sri Lanka,191/9,"(42.2/45 ov, T:192) 195/5",Sri Lanka,5 wickets,Colombo (SSC),1986-04-06,1986
ODI # 380,New Zealand,Pakistan,214/8,"(40.4/42 ov, T:215) 217/6",Pakistan,4 wickets,Colombo (SSC),1986-04-07,1986
ODI # 381,New Zealand,India,132/8,"(41.4/44 ov, T:133) 134/7",India,3 wickets,Sharjah,1986-04-10,1986
ODI # 382,Australia,Pakistan,202/7,"(49.1/50 ov, T:203) 206/2",Pakistan,8 wickets,Sharjah,1986-04-11,1986
ODI # 383,Sri Lanka,India,205/9,(49.1/50 ov) 206/7,India,3 wickets,Sharjah,1986-04-13,1986
ODI # 384,New Zealand,Pakistan,64,"(22.4/50 ov, T:65) 66/0",Pakistan,10 wickets,Sharjah,1986-04-15,1986
ODI # 385,India,Pakistan,245/7,"(50 ov, T:246) 248/9",Pakistan,1 wicket,Sharjah,1986-04-18,1986
ODI # 386,England,India,162,(47.2/55 ov) 163/1,India,9 wickets,The Oval,1986-05-24,1986
ODI # 387,India,England,254/6,"(53.5/55 ov, T:255) 256/5",England,5 wickets,Manchester,1986-05-26,1986
ODI # 388,New Zealand,England,217/8,"(48.2/55 ov, T:218) 170",New Zealand,47 runs,Leeds,1986-07-16,1986
ODI # 389,New Zealand,England,284/5,"(53.4/55 ov, T:285) 286/4",England,6 wickets,Manchester,1986-07-18,1986
ODI # 390,Australia,India,250/3,(41/47 ov) 251/3,India,7 wickets,Jaipur,1986-09-07,1986
ODI # 391,India,Australia,222/8,"(46/47 ov, T:223) 226/7",Australia,3 wickets,Srinagar,1986-09-09,1986
ODI # 393,Australia,India,238/6,"(43.3/45 ov, T:239) 242/7",India,3 wickets,Delhi,1986-10-02,1986
ODI # 394,India,Australia,193,"(43.3/50 ov, T:194) 141",India,52 runs,Ahmedabad,1986-10-05,1986
ODI # 395,India,Australia,260/6,"(46.3/48 ov, T:261) 263/3",Australia,7 wickets,Rajkot,1986-10-07,1986
ODI # 396,Pakistan,West Indies,164/7,(45.3/49 ov) 165/6,West Indies,4 wickets,Peshawar,1986-10-17,1986
ODI # 397,West Indies,Pakistan,196/7,"(43.5/43.5 ov, T:173) 155/6",West Indies,17 runs,Gujranwala,1986-11-04,1986
ODI # 398,Pakistan,West Indies,148/7,"(44.3/45 ov, T:149) 151/6",West Indies,4 wickets,Sialkot,1986-11-14,1986
ODI # 399,West Indies,Pakistan,202/5,"(38.2/44 ov, T:203) 113",West Indies,89 runs,Multan,1986-11-17,1986
ODI # 400,Pakistan,West Indies,202/6,"(45 ov, T:203) 191/7",Pakistan,11 runs,Hyderabad (Sind),1986-11-18,1986
ODI # 401,Sri Lanka,India,214/9,(41.3/45 ov) 215/3,India,7 wickets,Sharjah,1986-11-27,1986
ODI # 402,Pakistan,West Indies,143,"(33.2/45 ov, T:144) 145/1",West Indies,9 wickets,Sharjah,1986-11-28,1986
ODI # 403,West Indies,India,198/8,"(45 ov, T:199) 165/8",West Indies,33 runs,Sharjah,1986-11-30,1986
ODI # 404,Sri Lanka,Pakistan,164/7,(44/45 ov) 165/6,Pakistan,4 wickets,Sharjah,1986-12-02,1986
ODI # 405,West Indies,Sri Lanka,248/5,"(28.3/45 ov, T:249) 55",West Indies,193 runs,Sharjah,1986-12-03,1986
ODI # 406,India,Pakistan,144,(43.3/45 ov) 145/7,Pakistan,3 wickets,Sharjah,1986-12-05,1986
ODI # 407,Sri Lanka,India,195/8,"(24.1/46 ov, T:196) 78",Sri Lanka,117 runs,Kanpur,1986-12-24,1986
ODI # 408,Pakistan,West Indies,199/8,"(46.2/50 ov, T:200) 165",Pakistan,34 runs,Perth,1986-12-30,1986
ODI # 409,England,Australia,272/6,"(48.2/49 ov, T:273) 235",England,37 runs,Perth,1987-01-01,1987
ODI # 410,Australia,Pakistan,273/6,(49.5/50 ov) 274/9,Pakistan,1 wicket,Perth,1987-01-02,1987
ODI # 411,England,West Indies,228/9,"(48.2/50 ov, T:229) 209",England,19 runs,Perth,1987-01-03,1987
ODI # 412,West Indies,Australia,255/8,"(35.4/50 ov, T:256) 91",West Indies,164 runs,Perth,1987-01-04,1987
ODI # 413,Pakistan,England,229/5,"(49.4/50 ov, T:230) 232/7",England,3 wickets,Perth,1987-01-05,1987
ODI # 414,Pakistan,England,166/9,(40.1/50 ov) 167/5,England,5 wickets,Perth,1987-01-07,1987
ODI # 415,Sri Lanka,India,145/8,(27.3/46 ov) 146/2,India,8 wickets,Guwahati,1987-01-11,1987
ODI # 416,Sri Lanka,India,208/6,(41.3/44 ov) 209/4,India,6 wickets,Delhi,1987-01-13,1987
ODI # 417,India,Sri Lanka,235/8,"(36.3/43 ov, T:236) 141",India,94 runs,Vadodara,1987-01-15,1987
ODI # 418,West Indies,England,154,"(43.1/50 ov, T:155) 156/4",England,6 wickets,Brisbane,1987-01-17,1987
ODI # 419,India,Sri Lanka,299/4,"(40/40 ov, T:300) 289/7",India,10 runs,Wankhede,1987-01-17,1987
ODI # 420,Australia,England,261/4,"(50 ov, T:262) 250/9",Australia,11 runs,Brisbane,1987-01-18,1987
ODI # 421,Australia,West Indies,181/6,(48.2/50 ov) 182/3,West Indies,7 wickets,Melbourne,1987-01-20,1987
ODI # 422,Australia,England,233/8,(49.5/50 ov) 234/7,England,3 wickets,Sydney,1987-01-22,1987
ODI # 423,England,West Indies,252/6,"(45.5/50 ov, T:253) 163",England,89 runs,Adelaide,1987-01-24,1987
ODI # 424,West Indies,Australia,237/5,"(50 ov, T:238) 221/9",West Indies,16 runs,Adelaide,1987-01-25,1987
ODI # 425,Australia,England,225/6,"(48.1/50 ov, T:226) 192",Australia,33 runs,Adelaide,1987-01-26,1987
ODI # 426,India,Pakistan,196/7,"(44/45 ov, T:197) 200/7",Pakistan,3 wickets,Indore,1987-01-27,1987
ODI # 427,Australia,West Indies,194,"(46.1/50 ov, T:195) 158",Australia,36 runs,Sydney,1987-01-28,1987
ODI # 428,England,West Indies,147,(48.3/50 ov) 148/4,West Indies,6 wickets,Melbourne,1987-01-30,1987
ODI # 429,Australia,England,248/5,"(47.3/50 ov, T:249) 139",Australia,109 runs,Melbourne,1987-02-01,1987
ODI # 430,England,West Indies,177/9,"(48/50 ov, T:178) 148",England,29 runs,Devonport,1987-02-03,1987
ODI # 431,West Indies,Australia,192,"(49.1/50 ov, T:193) 195/8",Australia,2 wickets,Sydney,1987-02-06,1987
ODI # 432,Australia,England,171/8,(36/44 ov) 172/4,England,6 wickets,Melbourne,1987-02-08,1987
ODI # 433,England,Australia,187/9,"(50 ov, T:188) 179/8",England,8 runs,Sydney,1987-02-11,1987
ODI # 434,India,Pakistan,238/6,"(39.3/40 ov, T:239) 241/8",Pakistan,2 wickets,Kolkata,1987-02-18,1987
ODI # 435,West Indies,New Zealand,237/9,"(42.1/50 ov, T:238) 142",West Indies,95 runs,Dunedin,1987-03-18,1987
ODI # 437,New Zealand,West Indies,213,"(49/50 ov, T:214) 217/4",West Indies,6 wickets,Auckland,1987-03-21,1987
ODI # 438,India,Pakistan,120/9,(37.2/42 ov) 121/4,Pakistan,6 wickets,Pune,1987-03-22,1987
ODI # 439,Pakistan,India,286/6,"(44/44 ov, T:287) 245/9",Pakistan,41 runs,Nagpur,1987-03-24,1987
ODI # 440,India,Pakistan,265/3,(43.2/44 ov) 266/5,Pakistan,5 wickets,Jamshedpur,1987-03-26,1987
ODI # 441,New Zealand,West Indies,191/9,(39.2/50 ov) 192/0,West Indies,10 wickets,Christchurch,1987-03-28,1987
ODI # 442,England,India,211/7,"(48.5/50 ov, T:212) 214/7",India,3 wickets,Sharjah,1987-04-02,1987
ODI # 443,Australia,Pakistan,176/9,"(46.4/50 ov, T:177) 180/4",Pakistan,6 wickets,Sharjah,1987-04-03,1987
ODI # 444,Australia,India,176/6,(42/50 ov) 177/3,India,7 wickets,Sharjah,1987-04-05,1987
ODI # 445,Pakistan,England,217/9,"(47.2/50 ov, T:218) 220/5",England,5 wickets,Sharjah,1987-04-07,1987
ODI # 446,England,Australia,230/6,"(50 ov, T:231) 219/9",England,11 runs,Sharjah,1987-04-09,1987
ODI # 447,India,Pakistan,183/8,(41.4/50 ov) 184/2,Pakistan,8 wickets,Sharjah,1987-04-10,1987
ODI # 448,Pakistan,England,232/6,(53.1/55 ov) 233/3,England,7 wickets,The Oval,1987-05-21,1987
ODI # 449,England,Pakistan,157,(52/55 ov) 158/4,Pakistan,6 wickets,Nottingham,1987-05-23,1987
ODI # 450,Pakistan,England,213/9,"(54.3/55 ov, T:214) 217/9",England,1 wicket,Birmingham,1987-05-25,1987
ODI # 451,Pakistan,Sri Lanka,267/6,"(49.2/50 ov, T:268) 252",Pakistan,15 runs,Hyderabad (Sind),1987-10-08,1987
ODI # 453,Australia,India,270/6,"(49.5/50 ov, T:271) 269",Australia,1 run,Chennai,1987-10-09,1987
ODI # 452,West Indies,England,243/7,"(49.3/50 ov, T:244) 246/8",England,2 wickets,Gujranwala,1987-10-09,1987
ODI # 454,New Zealand,Zimbabwe,242/7,"(49.4/50 ov, T:243) 239",New Zealand,3 runs,Hyderabad (Deccan),1987-10-10,1987
ODI # 455,Pakistan,England,239/7,"(48.4/50 ov, T:240) 221",Pakistan,18 runs,Rawalpindi,1987-10-12,1987
ODI # 456,Australia,Zimbabwe,235/9,"(42.4/50 ov, T:236) 139",Australia,96 runs,Chennai,1987-10-13,1987
ODI # 457,West Indies,Sri Lanka,360/4,"(50 ov, T:361) 169/4",West Indies,191 runs,Karachi,1987-10-13,1987
ODI # 458,India,New Zealand,252/7,"(50 ov, T:253) 236/8",India,16 runs,Bengaluru,1987-10-14,1987
ODI # 459,West Indies,Pakistan,216,(50 ov) 217/9,Pakistan,1 wicket,Lahore,1987-10-16,1987
ODI # 461,Zimbabwe,India,135,(27.5/50 ov) 136/2,India,8 wickets,Wankhede,1987-10-17,1987
ODI # 460,England,Sri Lanka,296/4,"(45/45 ov, T:267) 158/8",England,108 runs,Peshawar,1987-10-17,1987
